Id,median_house_value
8609,425414.35714285716
14610,198814.2857142857
1557,121064.28571428571
12875,142721.42857142858
17821,303493.0
1701,193992.85714285713
9856,165414.2857142857
9875,127635.71428571429
4924,105135.71428571429
13021,172328.57142857142
6112,133507.14285714287
17149,194564.35714285713
18770,131928.57142857142
18353,181057.14285714287
17605,409300.35714285716
4862,174164.35714285713
10790,264471.4285714286
13463,114600.0
4325,252850.07142857142
12115,223035.7142857143
18658,238278.57142857142
1729,233992.85714285713
16151,496758.0
12551,490872.21428571426
15556,173485.7142857143
12532,224885.7142857143
14750,206735.7142857143
10652,267021.4285714286
15976,247357.2142857143
1423,172492.85714285713
19410,137700.0
11347,135814.2857142857
8651,188792.85714285713
5733,312450.14285714284
17554,211150.07142857142
11636,219428.57142857142
608,278542.9285714286
13836,194557.14285714287
4922,122807.14285714286
18319,148264.2857142857
8038,142800.0
2881,190064.2857142857
7329,338757.14285714284
5886,78371.42857142857
1294,466143.5714285714
159,203164.2857142857
6007,336393.0
1783,169535.7857142857
11358,260292.92857142858
17373,96550.0
3342,84185.71428571429
9364,124535.71428571429
2500,231821.5
4882,212628.57142857142
20099,103314.28571428571
15874,89678.57142857143
18959,193221.42857142858
6618,306300.0
18228,298207.21428571426
1633,185242.85714285713
14956,170014.2857142857
12800,275385.71428571426
416,131614.2857142857
16424,317307.28571428574
15047,168285.7142857143
17904,176964.2857142857
19886,155985.7142857143
9780,254428.57142857142
14862,175878.57142857142
20354,120292.85714285714
9044,180628.57142857142
4871,192164.42857142858
3632,99314.28571428571
3247,253371.42857142858
8528,150264.2857142857
9080,214678.57142857142
10002,103700.0
4461,162078.57142857142
20069,310692.9285714286
8200,188307.14285714287
9230,189985.7142857143
19260,185150.0
14501,276792.85714285716
7345,302357.14285714284
15167,153171.42857142858
12844,165578.57142857142
4193,180242.85714285713
3624,390728.78571428574
13094,89242.85714285714
5097,172771.42857142858
12227,191471.42857142858
16856,87714.28571428571
661,94971.42857142857
19231,129592.85714285714
5382,222421.57142857142
5537,345814.35714285716
5211,236335.7142857143
15825,148107.14285714287
4004,186407.14285714287
1275,109342.85714285714
1065,100771.42857142857
5074,138321.42857142858
403,227128.57142857142
18088,95128.57142857143
4024,222878.64285714287
11530,108728.57142857143
9416,232678.57142857142
6542,256935.7142857143
35,185792.85714285713
20278,187050.0
16207,191442.85714285713
10594,196542.85714285713
17333,257892.85714285713
15282,115785.71428571429
19134,225642.85714285713
15220,286742.9285714286
16655,260514.35714285713
5038,149085.7142857143
14367,125700.0
17909,163942.85714285713
7296,215593.0
10674,301692.85714285716
16096,152400.0
15468,170514.2857142857
1626,226414.2857142857
14530,227235.7142857143
6949,268650.0
1130,139114.2857142857
19982,94392.85714285714
5841,256221.42857142858
4830,202221.42857142858
14945,175600.0
14386,160442.85714285713
18110,126592.85714285714
12600,148464.2857142857
8819,91050.0
4529,208685.7142857143
3097,144542.85714285713
12398,325585.9285714286
5724,159835.7142857143
1819,255664.2857142857
419,158335.7142857143
20038,222457.14285714287
15536,187871.42857142858
11320,79507.14285714286
6607,241850.07142857142
16292,294078.5714285714
8805,215092.85714285713
12767,218657.2142857143
4187,163442.85714285713
16221,415543.0714285714
16964,175457.14285714287
225,303535.78571428574
505,244921.42857142858
16741,118135.71428571429
9404,470015.0714285714
3917,164100.07142857142
6352,115635.71428571429
4207,194978.57142857142
5115,226007.14285714287
11423,80714.28571428571
9241,167228.57142857142
933,223121.5
2781,182857.14285714287
12764,394157.35714285716
6885,92000.0
5602,238557.14285714287
9861,87207.14285714286
14640,188078.57142857142
17110,148142.85714285713
20467,160057.14285714287
20511,167778.57142857142
1692,214528.57142857142
539,120457.14285714286
8592,141250.0
16198,111821.42857142857
4854,105264.28571428571
19590,164178.57142857142
1219,201035.7142857143
4394,317992.9285714286
8058,165885.7142857143
9731,232350.07142857142
4382,192607.2142857143
5192,76128.57142857143
11278,215785.7142857143
1640,224742.85714285713
10179,299985.71428571426
19399,275778.5714285714
5085,122785.71428571429
13172,173407.14285714287
15831,338085.78571428574
11283,200278.57142857142
12253,184257.14285714287
16258,344800.21428571426
4781,184992.92857142858
808,214507.14285714287
19205,239350.0
16987,188228.7142857143
16674,221978.57142857142
9580,174321.42857142858
18168,149707.14285714287
19844,196064.2857142857
4808,169692.85714285713
9899,347785.78571428574
17293,177421.42857142858
7636,255392.85714285713
9329,178964.2857142857
5034,191200.0
216,128485.71428571429
19051,116085.71428571429
14157,205714.2857142857
17162,216764.2857142857
6582,181507.14285714287
2482,231464.2857142857
8195,257928.57142857142
20036,118278.57142857143
5036,195792.85714285713
4721,242650.0
3501,159228.57142857142
1936,158985.7142857143
6299,98842.85714285714
14925,192164.42857142858
1042,210928.57142857142
20161,256550.0
18079,389371.71428571426
18951,244914.35714285713
17601,132735.7142857143
7973,244014.2857142857
10542,105892.85714285714
7976,95350.0
7914,169892.85714285713
4146,152800.0
17077,154571.42857142858
3974,116678.57142857143
10610,125064.28571428571
7256,76264.28571428571
15457,218492.85714285713
15074,334121.5714285714
7557,316714.35714285716
14041,380285.85714285716
6744,155721.5
4940,479529.28571428574
9346,291300.0
1898,108757.14285714286
3525,181050.0
8890,190542.85714285713
1790,138100.0
16814,357185.85714285716
14029,228100.0
7062,369407.21428571426
14179,110114.28571428571
1594,345714.35714285716
7733,138578.57142857142
1531,335707.28571428574
4564,216571.42857142858
2126,150107.14285714287
16597,282607.21428571426
18481,105321.42857142857
11554,301943.0714285714
7958,214635.7142857143
3341,357271.5714285714
15836,124150.0
4399,151542.85714285713
7010,179821.42857142858
14415,126185.71428571429
20438,126914.28571428571
1209,496758.0
5543,163892.92857142858
12691,77264.28571428571
5199,232492.85714285713
7457,234992.85714285713
4948,275000.0714285714
9630,188064.2857142857
20163,249428.64285714287
8641,259828.64285714287
3704,309207.14285714284
8918,183871.42857142858
13732,250885.7857142857
13667,121842.85714285714
19055,96664.28571428571
15097,251385.7857142857
3356,166228.57142857142
16912,141042.85714285713
9500,186078.57142857142
6628,500001.0
7433,443407.4285714286
5520,224521.42857142858
9581,185435.7142857143
6104,238350.07142857142
4079,83685.71428571429
19417,168207.14285714287
8929,270442.85714285716
9109,336992.9285714286
5951,151842.85714285713
6986,202200.0
5656,323078.64285714284
13259,344557.35714285716
10001,195335.7142857143
11167,153114.2857142857
3084,170585.7142857143
18759,176942.85714285713
14499,229578.57142857142
12843,162914.2857142857
7910,211621.42857142858
12566,160192.85714285713
18501,289635.71428571426
10713,206692.85714285713
15000,213435.7142857143
1450,245542.85714285713
1575,169964.2857142857
12378,197578.57142857142
16158,184578.57142857142
8213,417707.5714285714
19259,134000.0
8728,271214.28571428574
20101,242950.0
20139,228885.7142857143
1245,210100.0
4151,113878.57142857143
16352,239907.14285714287
13787,261200.0
8005,138842.85714285713
15927,329328.71428571426
5832,288714.35714285716
11834,174792.85714285713
9387,475000.71428571426
8909,140871.42857142858
7672,376200.21428571426
16635,336107.14285714284
10890,192185.7142857143
1681,377471.5714285714
11452,138735.7142857143
849,145442.85714285713
2072,251964.35714285713
7444,149557.14285714287
5005,237064.2857142857
1217,161485.7857142857
7344,259342.92857142858
14702,130642.85714285714
13062,158021.42857142858
15236,154800.0
8810,100028.57142857143
14755,496700.9285714286
19556,251785.7142857143
15750,142164.2857142857
10632,305657.21428571426
4547,146614.2857142857
6589,414621.64285714284
11698,138064.2857142857
7465,181335.7142857143
7026,161871.42857142858
19247,111400.0
1492,178864.2857142857
19436,118985.71428571429
9866,231335.7142857143
7297,123428.57142857143
6107,148614.2857142857
10068,133364.2857142857
2491,120757.14285714286
18699,378457.28571428574
5916,231321.42857142858
11864,316671.5714285714
16550,74235.71428571429
8917,121742.85714285714
16119,279771.5
17175,184735.7142857143
13449,125371.42857142857
18331,235607.14285714287
1277,248200.14285714287
928,212128.57142857142
17461,277978.5714285714
7751,130592.85714285714
5040,221257.14285714287
9276,152442.85714285713
14607,171564.2857142857
2988,197042.92857142858
17717,346457.28571428574
14829,327657.28571428574
19225,115864.28571428571
10516,211985.7857142857
569,182392.85714285713
9600,75907.14285714286
2280,338985.71428571426
14230,157257.14285714287
8070,198292.85714285713
10519,317135.85714285716
7261,182892.85714285713
11280,216078.57142857142
12842,133942.85714285713
5509,65857.14285714286
13321,199657.14285714287
20404,197278.57142857142
2563,194871.42857142858
12051,213535.7142857143
18511,243900.0
11450,266178.5714285714
13328,242085.7142857143
17642,105542.85714285714
2329,487579.4285714286
15816,133900.0
2645,166535.7142857143
13162,107378.57142857143
964,155135.7142857143
5918,293992.85714285716
8481,181057.14285714287
6966,103978.5
5908,257878.57142857142
18614,259385.7142857143
6740,219114.2857142857
6661,174850.0
31,151842.85714285713
12974,211292.85714285713
18954,208892.85714285713
8943,118978.57142857143
3686,433650.35714285716
3583,137214.2857142857
13126,224721.42857142858
20089,276485.71428571426
18750,160221.42857142858
