Id,median_house_value
8609,355668.6551616336
14610,168977.32565285033
1557,138293.68979782425
12875,119499.36696641846
17821,128221.6682222574
1701,246905.80067893676
9856,217700.38914194098
9875,170789.9675616487
4924,174604.0962796146
13021,124904.95787448017
6112,60999.305490392726
17149,251509.4684290858
18770,159241.8977415678
18353,239150.97298767045
17605,258420.5245806761
4862,254360.44865978416
10790,321291.46224884037
13463,51629.45246940805
4325,270487.6744977245
12115,267762.7829030091
18658,279465.41718810797
1729,218994.73658743175
16151,541854.7530509648
12551,437642.51191446977
15556,127402.83759989822
12532,214374.67303212313
14750,116429.11112839356
10652,301014.4209209853
15976,257052.7747118282
1423,207653.0684540905
19410,317404.2547158832
11347,159730.72370731877
8651,247100.2564948271
5733,368902.9374932791
17554,263203.1199162584
11636,178996.18066253327
608,254657.09562402265
13836,210077.76969642006
4922,128441.68741929298
18319,173603.66437016614
8038,132904.8583392785
2881,251501.43307356862
7329,270078.98523294926
5886,98996.93038935866
1294,466190.2750654933
159,206941.09089863766
6007,285608.9296184103
1783,94219.67722762562
11358,156892.5945096463
17373,98171.14818109479
3342,27399.45333116129
9364,157761.63559577335
2500,263805.3357807356
4882,267742.58867566707
20099,118404.60119925346
15874,151679.21653492376
18959,213492.46387284854
6618,287097.1098331753
18228,198255.62089586165
1633,213377.53924811678
14956,213247.63655521395
12800,271351.30080959015
416,157145.72047081403
16424,286795.4126598239
15047,216053.0689157932
17904,189666.13274344197
19886,138141.91752660694
9780,273039.88778166566
14862,179856.3837827295
20354,127710.71230988018
9044,196245.8581358972
4871,143180.0700212475
3632,161549.00335897272
3247,226341.70697295107
8528,169981.52393983118
9080,200795.7245820202
10002,159484.51320437063
4461,93224.06371197663
20069,316763.03000174
8200,193209.83726624073
9230,215562.49659157358
19260,216175.63536636764
14501,207255.19308982184
7345,281553.32771835197
15167,224006.80859679263
12844,226761.65876044007
4193,249069.4047053191
3624,321855.3090057033
13094,124714.90426672949
5097,259218.6783135333
12227,190335.28391403286
16856,98560.14749174844
661,181454.87921054196
19231,182278.63936613686
5382,213324.37185211014
5537,372427.665388952
5211,308010.20889035054
15825,139755.27679389715
4004,201946.69567163987
1275,190944.18701403541
1065,87988.39570664149
5074,42792.639656429645
403,295440.91553401435
18088,78570.02470481303
4024,263389.09368523443
11530,90631.21334923478
9416,264821.43049026886
6542,256723.6168813859
35,140315.90455610817
20278,127344.90322906664
16207,273635.4269946222
10594,252857.82845771825
17333,399397.80217954563
15282,167135.89627248142
19134,254445.84814280597
15220,269933.1270067049
16655,267187.10590112815
5038,117114.90237794677
14367,56209.39253610792
17909,238045.5760571016
7296,165756.14681341266
10674,302375.40744873043
16096,147857.8324847035
15468,168535.65009288443
1626,198402.09022631403
14530,156866.78061653068
6949,224783.291002566
1130,143726.5782071175
19982,67987.20633790083
5841,224490.7448039162
4830,136184.9384095855
14945,173806.2798553682
14386,213715.3926881589
18110,106916.42313300399
12600,119077.74800224416
8819,118714.05456390977
4529,208809.30990694137
3097,95520.25647395244
12398,271112.07043076865
5724,147230.06776510086
1819,251213.9697902971
419,158833.5752131464
20038,218200.1180175459
15536,164676.74311689893
11320,158351.55011563003
6607,261635.68379751733
16292,293473.25495847454
8805,184397.6143312347
12767,136262.66555831907
4187,196528.09789382434
16221,369855.1784199686
16964,159648.32961930055
225,305783.23898710916
505,245637.04768241337
16741,176846.15468513547
9404,476729.9139768928
3917,165563.3543217117
6352,189893.23718148423
4207,230139.8630285049
5115,282688.31501280423
11423,139139.2940224777
9241,180064.6944041974
933,209426.91722097807
2781,184724.55530739808
12764,349193.1125914315
6885,59509.177586554084
5602,275907.125861628
9861,130125.20734261954
14640,190595.0191285587
17110,141005.6892622048
20467,18416.54336485127
20511,220945.5901144403
1692,228918.68279099
539,165534.05884549348
8592,214794.94449533196
16198,139.79428408900276
4854,219536.45898832148
19590,185112.35625783913
1219,169190.07597176684
4394,322253.4859075411
8058,225156.30243863305
9731,201058.19908008864
4382,147054.09426211845
5192,28571.556262531318
11278,270855.1277415147
1640,301149.9627531604
10179,234564.77071548905
19399,348927.6886922396
5085,134061.92382550845
13172,246345.43308854336
15831,307569.6081575905
11283,215149.3414586545
12253,198613.33601798397
16258,310562.2406012118
4781,172682.9853495313
808,246999.31183843827
19205,251796.24594691955
16987,98700.33481174428
16674,270251.5877923379
9580,225334.95573036885
18168,166177.3576648403
19844,81544.37881734176
4808,182769.46656634612
9899,317641.6040633768
17293,227085.93040983425
7636,205980.52744741458
9329,221490.41988650337
5034,184578.7995083984
216,116886.12000586186
19051,114458.20387688745
14157,214945.9132750528
17162,191915.92022986524
6582,186167.85139149753
2482,282810.7743978854
8195,295636.63037422206
20036,79333.36299037607
5036,218556.2636543233
4721,298550.055197787
3501,205474.02426254982
1936,155951.68068062793
6299,175092.38288006838
14925,94163.14586709999
1042,148578.10151568148
20161,218997.2256999137
18079,270712.93143275427
18951,254249.54887599358
17601,146857.53089608857
7973,258615.23817902757
10542,176138.70329193445
7976,146307.06031798525
7914,222080.24728349922
4146,150747.28930323198
17077,177791.59102482162
3974,160372.17154137045
10610,141858.1306363442
7256,60540.408836149145
15457,164230.43197080353
15074,295917.2346893479
7557,315693.21175027685
14041,263296.1874307757
6744,83331.07725821994
4940,425054.8469270342
9346,255788.62838649144
1898,76505.43559807679
3525,154957.22575529013
8890,217577.4092470887
1790,115970.49283352634
16814,365981.1664999495
14029,260850.4130411856
7062,383358.9229130009
14179,169882.91185425315
1594,333301.8175858711
7733,13164.044163035695
1531,322811.7155849789
4564,281265.8014644012
2126,115817.7403013343
16597,270388.79736043327
18481,120344.19818410184
11554,242177.01595244557
7958,297069.0376830157
3341,359479.11027150694
15836,145787.4015458105
4399,150726.08065110957
7010,192996.82055351185
14415,122335.58181153005
20438,113833.31370158773
1209,601588.3266989617
5543,180371.92168195127
12691,93169.3605396119
5199,187861.6035948326
7457,265774.6460911776
4948,325845.70770852175
9630,149218.30883648153
20163,247255.22312071826
8641,254450.8551677107
3704,212554.93499072734
8918,178586.30254196702
13732,315372.8055845187
13667,10679.264342577197
19055,187054.14412898384
15097,249417.76926835766
3356,223507.30440350063
16912,133912.63092259783
9500,240133.28783668857
6628,689174.7689811047
7433,404830.1765644923
5520,183475.15906802844
9581,277990.4615410147
6104,302066.2695779181
4079,128106.25431685755
19417,116037.81569634937
8929,294273.9599794564
9109,361641.39374840166
5951,210500.3802130157
6986,205956.655363522
5656,375588.1001236625
13259,257156.53812930267
10001,200409.82673546392
11167,208655.5934376982
3084,84161.11815083493
18759,182285.9391226028
14499,192883.68988229614
12843,212005.64484219952
7910,190752.51219441835
12566,170831.70895542717
18501,319181.9004540057
10713,142077.15239796275
15000,136644.7809164566
1450,275432.8225963693
1575,93948.04726446373
12378,211985.244156308
16158,153045.7233778201
8213,438223.9923825632
19259,79581.58358577453
