Id,median_house_value
8609,355639.1895041908
14610,168998.3030011449
1557,138284.34570735274
12875,119514.71037936956
17821,128228.68969596922
1701,246884.4536791686
9856,217702.89560631616
9875,170791.06490120897
4924,174585.53379174182
13021,124893.65050509432
6112,61009.47039630683
17149,251490.28651300166
18770,159226.2440558765
18353,239135.34816761827
17605,258423.92024431145
4862,254343.4413002706
10790,321280.7234261669
13463,51641.35510458611
4325,270486.9031292219
12115,267744.0445684702
18658,279447.8309340137
1729,218994.50287358416
16151,541850.778738407
12551,437638.4630782092
15556,127426.31630373048
12532,214358.00906091882
14750,116437.1095644217
10652,300993.99224767694
15976,257048.8170011337
1423,207653.16885709018
19410,317401.10164476
11347,159719.60118447384
8651,247096.233166561
5733,368911.9937301008
17554,263199.59858196555
11636,179016.2787411944
608,254674.17839739937
13836,210068.38741829572
4922,128439.91532327654
18319,173602.39105078857
8038,132913.51000910858
2881,251479.64619106846
7329,270089.7532539503
5886,99020.76048844727
1294,466190.16448215256
159,206930.2134877909
6007,285642.87348772865
1783,94221.90151566174
11358,156894.27389279567
17373,98162.27847871836
3342,27367.222992272582
9364,157746.8145486638
2500,263802.02317098714
4882,267746.49145789957
20099,118401.46246270556
15874,151669.6769331824
18959,213508.41456159577
6618,287120.95697181206
18228,198248.3828450814
1633,213406.970678763
14956,213248.4317279635
12800,271333.5803022045
416,157129.72972591408
16424,286771.3984101624
15047,216081.87765522068
17904,189679.47780717583
19886,138144.19369388698
9780,273042.2061676751
14862,179881.66387513466
20354,127730.82611640962
9044,196281.1829214343
4871,143168.79616355244
3632,161530.96195653407
3247,226368.41274488205
8528,169981.91976804286
9080,200790.01739582513
10002,159496.3641104102
4461,93213.39127724711
20069,316748.1527064149
8200,193243.81992417062
9230,215555.34656751854
19260,216195.44717767788
14501,207266.6608830872
7345,281545.7658584169
15167,223994.93725131545
12844,226741.25904127723
4193,249074.16826148983
3624,321877.57894861465
13094,124703.95330033265
5097,259210.59764001612
12227,190319.1641438664
16856,98550.59463100322
661,181450.06893439637
19231,182277.0240618405
5382,213307.5750370035
5537,372420.8550634128
5211,307997.48907725606
15825,139755.0499342694
4004,201938.30426851008
1275,190946.58639120637
1065,87989.92972886376
5074,42801.71465275204
403,295447.28873634664
18088,78586.48889568215
4024,263366.51188971614
11530,90631.70439890632
9416,264814.91289049806
6542,256726.33293448994
35,140336.05958300503
20278,127342.81764784735
16207,273610.65885055484
10594,252855.41360704368
17333,399390.1985760648
15282,167130.61652878346
19134,254452.75245341007
15220,269936.40882391296
16655,267205.03042435413
5038,117143.40613507899
14367,56217.16874962859
17909,238031.14934948785
7296,165758.16600982798
10674,302368.02628587745
16096,147878.46866694093
15468,168546.43570314255
1626,198395.556348423
14530,156879.47612243798
6949,224791.52289211238
1130,143737.01178913983
19982,67995.04649971239
5841,224514.74042285094
4830,136192.95850312337
14945,173804.87100811256
14386,213728.44123966387
18110,106925.94146602321
12600,119102.147437301
8819,118703.9151389515
4529,208801.40863187145
3097,95525.76926353713
12398,271133.8237169292
5724,147236.65009331657
1819,251229.29176695086
419,158867.50274093403
20038,218230.43745854916
15536,164700.94765226357
11320,158361.78598208865
6607,261624.81213394692
16292,293497.8920215233
8805,184415.31043058913
12767,136273.90688198758
4187,196517.11062956788
16221,369881.65231448086
16964,159633.77497004392
225,305781.21576702874
505,245634.6042093411
16741,176835.49594247853
9404,476726.7757831523
3917,165545.80953717604
6352,189872.53380124224
4207,230119.63839683542
5115,282670.11018618755
11423,139128.33071454475
9241,180060.75948127592
933,209419.45352679538
2781,184754.47116149403
12764,349185.01092342846
6885,59520.559820386115
5602,275900.3508714577
9861,130111.4759867466
14640,190576.21413743868
17110,140993.5762168835
20467,18412.524408081546
20511,220953.25739088096
1692,228930.6706284536
539,165561.33639974287
8592,214838.8387335008
16198,107.56980900000781
4854,219537.93459078344
19590,185118.49741810746
1219,169174.08111305116
4394,322226.4154561339
8058,225154.62963767815
9731,201059.09435611358
4382,147065.83828597562
5192,28581.155535951257
11278,270836.5592818414
1640,301150.21239012294
10179,234586.64524499932
19399,348913.9507424147
5085,134058.89556157496
13172,246330.90665645944
15831,307565.8767254129
11283,215151.82115208264
12253,198654.03334309626
16258,310539.678378372
4781,172684.9674898209
808,246998.3748019524
19205,251788.28684313316
16987,98704.2810035185
16674,270235.96968291653
9580,225323.25204475364
18168,166169.96619149297
19844,81543.24833432864
4808,182794.83117204346
9899,317619.3117913464
17293,227076.13339313865
7636,205977.5643688268
9329,221491.07226026012
5034,184607.785351614
216,116877.63898359518
19051,114447.29443037836
14157,214938.0407842421
17162,191936.7689311728
6582,186164.33991362154
2482,282806.79672882287
8195,295611.31853354024
20036,79315.07758672396
5036,218548.99773926195
4721,298546.9873792152
3501,205477.53553325776
1936,155933.81655645603
6299,175077.46303790482
14925,94164.04850999406
1042,148572.93377517536
20161,218998.1772348429
18079,270708.7216082043
18951,254247.70116788847
17601,146841.53911801428
7973,258637.7373648286
10542,176151.9728242783
7976,146294.49104735535
7914,222090.1686401246
4146,150756.17048169253
17077,177774.45039665
3974,160375.0925945961
10610,141849.84109292738
7256,60535.57812375156
15457,164244.0284447074
15074,295911.6651860364
7557,315685.64313798724
14041,263295.615660273
6744,83348.35893780878
4940,425043.4276082921
9346,255807.27735969005
1898,76510.9694123161
3525,154971.25283123273
8890,217573.6978007541
1790,115972.55126470281
16814,365961.3869577185
14029,260856.07629244123
7062,383355.7497689733
14179,169884.8147742753
1594,333329.79376472253
7733,13177.951239136979
1531,322798.13735094573
4564,281269.01966344286
2126,115852.04672067193
16597,270384.42968171416
18481,120337.0568735348
11554,242176.2440908309
7958,297037.1289292779
3341,359451.9751881617
15836,145812.40915893763
4399,150719.4581949534
7010,192982.49379999517
14415,122364.96599493502
20438,113823.75991536118
1209,601583.4736043592
5543,180351.50957651902
12691,93168.34925980726
5199,187848.06551973522
7457,265771.0665162676
4948,325842.5967229712
9630,149214.70131961443
20163,247246.74264457962
8641,254462.62520853803
3704,212560.64582165936
8918,178576.7506245901
