Id,median_house_value
8609,400336.48484848486
14610,135672.0779220779
1557,78646.90265486726
12875,99035.64593301436
17821,168813.671875
1701,203013.7381974249
9856,213093.63636363635
9875,117877.77777777778
4924,82400.0
13021,168526.9841269841
6112,71694.99166666667
17149,228456.56551724137
18770,109076.73611111111
18353,262956.2734375
17605,334687.3220338983
4862,292833.9298245614
10790,454391.45454545453
13463,114980.34557235421
4325,154525.0
12115,203013.7381974249
18658,237950.0
1729,230746.1062992126
16151,494722.7804878049
12551,469400.0
15556,99035.64593301436
12532,97026.04651162791
14750,136090.6633906634
10652,242376.38888888888
15976,262956.2734375
1423,213093.63636363635
19410,278368.2272727273
11347,146896.1038961039
8651,391466.8333333333
5733,485508.8108108108
17554,293907.5
11636,135672.0779220779
608,214788.13559322033
13836,208228.57142857142
4922,122098.69281045752
18319,172131.6923076923
8038,141561.76470588235
2881,203013.7381974249
7329,344184.6153846154
5886,99035.64593301436
1294,112500.0
159,131760.0
6007,300666.4868421053
1783,114980.34557235421
11358,136090.6633906634
17373,108047.28682170542
3342,63817.20430107527
9364,172346.3768115942
2500,292833.9298245614
4882,242837.2093023256
20099,122098.69281045752
15874,109076.73611111111
18959,192403.17460317462
6618,300666.4868421053
18228,185028.35820895524
1633,186880.28169014084
14956,173649.63703703703
12800,242376.38888888888
416,172346.3768115942
16424,300666.4868421053
15047,203013.7381974249
17904,182972.66666666666
19886,116142.1875
9780,260512.0481927711
14862,135672.0779220779
20354,99035.64593301436
9044,203013.7381974249
4871,170948.83720930232
3632,162520.0
3247,281715.78571428574
8528,203791.10714285713
9080,230746.1062992126
10002,141561.76470588235
4461,78646.90265486726
20069,385108.7901234568
8200,203013.7381974249
9230,192403.17460317462
19260,203013.7381974249
14501,300666.4868421053
7345,304790.5833333333
15167,166900.0
12844,242744.44444444444
4193,222233.52127659574
3624,334687.3220338983
13094,136582.8125
5097,279539.3370786517
12227,168526.9841269841
16856,58993.08881578947
661,257213.22641509434
19231,162688.88888888888
5382,97026.04651162791
5537,334687.3220338983
5211,451915.14814814815
15825,114980.34557235421
4004,236954.08163265305
1275,170948.83720930232
1065,58993.08881578947
5074,83367.0731707317
403,250300.0
18088,99035.64593301436
4024,300555.3829787234
11530,58993.08881578947
9416,230746.1062992126
6542,242837.2093023256
35,135672.0779220779
20278,144191.91919191918
16207,300555.3829787234
10594,197517.5
17333,271130.5254237288
15282,136582.8125
19134,182972.66666666666
15220,373655.55555555556
16655,493229.14285714284
5038,99035.64593301436
14367,83367.0731707317
17909,303705.8823529412
7296,116142.1875
10674,300666.4868421053
16096,167032.53968253967
15468,167032.53968253967
1626,168526.9841269841
14530,135672.0779220779
6949,235762.24444444446
1130,172131.6923076923
19982,91865.80459770115
5841,230746.1062992126
4830,168813.671875
14945,149352.38095238095
14386,173649.63703703703
18110,114980.34557235421
12600,99035.64593301436
8819,108047.28682170542
4529,168813.671875
3097,99035.64593301436
12398,300666.4868421053
5724,136090.6633906634
1819,271130.5254237288
419,172131.6923076923
20038,281715.78571428574
15536,135672.0779220779
11320,141561.76470588235
6607,279539.3370786517
16292,234390.9090909091
8805,135672.0779220779
12767,136090.6633906634
4187,109076.73611111111
16221,408950.125
16964,97026.04651162791
225,376367.525
505,293907.5
16741,161051.28205128206
9404,498256.402173913
3917,203861.53846153847
6352,195383.8108108108
4207,183470.4081632653
5115,263354.54545454547
11423,109076.73611111111
9241,208752.8735632184
933,168526.9841269841
2781,203013.7381974249
12764,334687.3220338983
6885,91865.80459770115
5602,246410.29411764705
9861,109076.73611111111
14640,168526.9841269841
17110,146896.1038961039
20467,246670.2
20511,186880.28169014084
1692,173649.63703703703
539,172131.6923076923
8592,203013.7381974249
16198,63817.20430107527
4854,149352.38095238095
19590,182972.66666666666
1219,168526.9841269841
4394,300666.4868421053
8058,197517.5
9731,168813.671875
4382,172131.6923076923
5192,60135.84905660377
11278,237950.0
1640,299177.14285714284
10179,300666.4868421053
19399,493337.63157894736
5085,213093.63636363635
13172,292833.9298245614
15831,294108.0
11283,185028.35820895524
12253,172131.6923076923
16258,300666.4868421053
4781,136090.6633906634
808,167032.53968253967
19205,228456.56551724137
16987,136090.6633906634
16674,292833.9298245614
9580,279539.3370786517
18168,163281.4814814815
19844,117877.77777777778
4808,186880.28169014084
9899,300666.4868421053
17293,228456.56551724137
7636,208752.8735632184
9329,222233.52127659574
5034,203013.7381974249
216,58993.08881578947
19051,109076.73611111111
14157,168526.9841269841
17162,135672.0779220779
6582,246109.67741935485
2482,279539.3370786517
8195,304790.5833333333
20036,63817.20430107527
5036,136090.6633906634
4721,135672.0779220779
3501,170948.83720930232
1936,450000.0
6299,136406.1224489796
14925,246670.2
1042,168813.671875
20161,202463.07692307694
18079,294108.0
18951,197517.5
17601,109076.73611111111
7973,281715.78571428574
10542,99035.64593301436
7976,109076.73611111111
7914,169697.36842105264
4146,114980.34557235421
17077,154507.14285714287
3974,122098.69281045752
10610,146896.1038961039
7256,58993.08881578947
15457,135672.0779220779
15074,363500.0
7557,279539.3370786517
14041,246240.0
6744,114980.34557235421
4940,131300.0
9346,271852.04
1898,91865.80459770115
3525,130750.0
8890,168813.671875
1790,114980.34557235421
16814,298945.8333333333
14029,182972.66666666666
7062,446512.5
14179,169697.36842105264
1594,500001.0
7733,83367.0731707317
1531,486700.71428571426
4564,439009.625
2126,203013.7381974249
16597,246410.29411764705
18481,58993.08881578947
11554,304790.5833333333
7958,164942.1875
3341,300666.4868421053
15836,99035.64593301436
4399,117877.77777777778
7010,168526.9841269841
14415,99035.64593301436
20438,136582.8125
1209,498256.402173913
5543,155075.0
12691,84164.54430379746
5199,168526.9841269841
7457,337072.7272727273
4948,298945.8333333333
9630,127584.61538461539
20163,228456.56551724137
8641,284566.6666666667
3704,246240.0
8918,136582.8125
13732,284000.0
13667,63817.20430107527
19055,128320.83333333333
15097,203013.7381974249
3356,255362.5
16912,172131.6923076923
9500,255991.66666666666
6628,498256.402173913
7433,490762.4246575342
5520,97026.04651162791
9581,350156.9090909091
6104,284000.0
4079,109076.73611111111
19417,92056.25
8929,242837.2093023256
9109,300666.4868421053
5951,173649.63703703703
6986,208752.8735632184
5656,341100.0
13259,300666.4868421053
10001,245323.07692307694
11167,222233.52127659574
3084,135672.0779220779
18759,203013.7381974249
14499,168526.9841269841
12843,292105.8823529412
7910,222233.52127659574
12566,146896.1038961039
18501,240466.66666666666
10713,136090.6633906634
15000,136090.6633906634
1450,237675.39682539683
1575,114980.34557235421
12378,233575.0
16158,186880.28169014084
8213,466325.5
19259,72296.15384615384
8728,304790.5833333333
20101,300555.3829787234
20139,246109.67741935485
1245,254980.01666666666
4151,78646.90265486726
16352,242376.38888888888
13787,284000.0
8005,109076.73611111111
15927,354994.1176470588
5832,246410.29411764705
11834,172131.6923076923
9387,467562.36363636365
8909,203791.10714285713
7672,334687.3220338983
16635,300666.4868421053
10890,197517.5
1681,334687.3220338983
11452,97026.04651162791
849,99035.64593301436
2072,254980.01666666666
7444,99035.64593301436
5005,292105.8823529412
1217,203013.7381974249
7344,292833.9298245614
14702,166900.0
13062,149352.38095238095
15236,200876.7123287671
8810,91865.80459770115
14755,498256.402173913
19556,292833.9298245614
15750,157062.90322580645
10632,131760.0
4547,220082.88288288287
6589,404530.0
11698,162688.88888888888
7465,129717.77777777778
7026,183470.4081632653
19247,71694.99166666667
1492,135672.0779220779
19436,78646.90265486726
9866,168813.671875
7297,91865.80459770115
6107,114980.34557235421
10068,172131.6923076923
2491,200876.7123287671
18699,379995.28571428574
5916,181679.16666666666
11864,213375.0
16550,91865.80459770115
8917,172346.3768115942
16119,214788.13559322033
17175,237950.0
13449,195383.8108108108
18331,135672.0779220779
1277,214788.13559322033
928,203013.7381974249
17461,304790.5833333333
7751,278368.2272727273
5040,279539.3370786517
9276,183470.4081632653
14607,114980.34557235421
2988,485508.8108108108
17717,264400.0
14829,209893.8775510204
19225,83367.0731707317
10516,208752.8735632184
569,262956.2734375
9600,136582.8125
2280,363988.23529411765
14230,203013.7381974249
8070,260512.0481927711
10519,484160.8
7261,222233.52127659574
11280,318543.58974358975
12842,117700.0
5509,89236.84210526316
13321,255362.5
20404,206481.81818181818
2563,203013.7381974249
12051,293907.5
18511,182972.66666666666
11450,239009.3023255814
13328,404400.1
17642,58993.08881578947
2329,498256.402173913
15816,155075.0
2645,192403.17460317462
13162,71694.99166666667
964,99035.64593301436
5918,451915.14814814815
8481,257213.22641509434
6966,172131.6923076923
5908,233575.0
18614,451915.14814814815
6740,131760.0
6661,168526.9841269841
31,99035.64593301436
12974,168813.671875
18954,168526.9841269841
8943,108047.28682170542
3686,446512.5
3583,91865.80459770115
13126,135672.0779220779
20089,168813.671875
18750,169697.36842105264
1887,185028.35820895524
8323,237675.39682539683
7985,378880.2
1694,99035.64593301436
15636,208752.8735632184
11364,161051.28205128206
1867,97026.04651162791
12644,136406.1224489796
5059,97026.04651162791
5428,58993.08881578947
17053,92056.25
7799,222233.52127659574
6038,254980.01666666666
17115,292833.9298245614
11833,197517.5
7907,281715.78571428574
1186,114980.34557235421
3435,168526.9841269841
6893,172346.3768115942
8787,197517.5
7309,278368.2272727273
19921,97026.04651162791
8752,91865.80459770115
16650,197517.5
16275,182972.66666666666
20208,203013.7381974249
11372,208752.8735632184
13111,236954.08163265305
18922,168526.9841269841
19037,203013.7381974249
733,136090.6633906634
7150,257213.22641509434
7758,172346.3768115942
1565,169697.36842105264
5679,235762.24444444446
13933,222233.52127659574
11234,164942.1875
16321,174200.0
9783,208752.8735632184
1935,203791.10714285713
15788,122098.69281045752
4351,91865.80459770115
2169,498256.402173913
10654,242837.2093023256
13571,230746.1062992126
13070,187720.0
16673,109076.73611111111
4620,182972.66666666666
731,230746.1062992126
16061,116142.1875
13401,202463.07692307694
